index,slot,label,category,status,coverage_group,board_screenshot,swift_screenshot,purpose,primary_actions,states,required_data,coverage_notes
68,provider-keys-detail,ProviderKeysView · API key management,Provider setup,partial,partial-or-route-gap,board-screenshots/68-provider-keys-view.jpg,,"Manage provider API keys with status badges for Anthropic, OpenAI, OpenRouter, Ollama, Google, Azure.",Add or update a provider key.; Verify a key.; Remove a key.,Connected; Missing key; Invalid key; Verifying,Provider name; Key status badge; Available models; Last verified,Provider keys view exists; board adds expanded provider list and status badges.
69,shortcut-editor,ShortcutBarEditor · customize shortcut bar,Settings,partial,partial-or-route-gap,board-screenshots/69-shortcut-bar-editor.jpg,,Provide drag-reorder and enable/disable toggles for the keyboard accessory shortcut bar.,Reorder shortcuts by dragging.; Enable or disable individual shortcuts.,Default layout; Customized layout; Empty (all disabled),Shortcut list; Drag handle; Enable toggle,Shortcut bar exists; board adds dedicated editor for customization.
70,snippet-editor,SnippetEditorView · snippet editing,Settings,partial,partial-or-route-gap,board-screenshots/70-snippet-editor-view.jpg,,"Edit a command snippet with name, command body, and arguments list.",Edit snippet name.; Edit command text.; Add or remove arguments.; Save or discard changes.,Editing new snippet; Editing existing snippet; Invalid command; Saving,Snippet name; Command body; Arguments list,Snippets exist in code; board adds dedicated editor view.
71,sync-status,SyncStatusView · iCloud sync status,Settings,partial,partial-or-route-gap,board-screenshots/71-sync-status-view.jpg,,"Display iCloud sync status, last sync time, connected devices, and sync toggle.",View sync state.; Toggle sync on or off.; View connected devices.,Synced; Syncing; Sync paused; iCloud unavailable,Sync status; Last sync time; Device list; Sync toggle,iCloud sync exists; board adds dedicated status view.
72,policy-yaml-editor,PolicyEditorView · raw YAML editor,Policy and governance,partial,partial-or-route-gap,board-screenshots/72-policy-editor-view.jpg,,Provide a raw YAML policy editor with syntax coloring and Save & Reload on Bridge action.,Edit YAML content.; Save and reload on bridge.; Validate YAML syntax.,Valid YAML; Invalid YAML; Saving; Reload pending,YAML body; Syntax highlighting; Validation errors; Reload status,Policy YAML editor exists; board adds syntax coloring treatment.
73,secrets-vault,SecretsView · secrets vault,Secrets and permissions,partial,partial-or-route-gap,board-screenshots/73-secrets-view.jpg,,"Display secrets vault with name, type (env/file/api-key), scope, and pending agent requests.",Approve or deny a secret request.; View secret metadata.; Revoke or rotate access.,No secrets; Secrets available; Pending requests; Backend unavailable,Secret name; Type badge; Scope; Requester,Secrets view exists; board adds type badges and request queue.
74,audit-events,AuditView · chronological audit events,Audit and compliance,partial,partial-or-route-gap,board-screenshots/74-audit-view.jpg,,Show chronological audit events grouped by time with hash verification status.,Browse audit events.; Verify an event hash.; Export audit log.,Populated; Empty; Verification failed; Exporting,Event list grouped by time; Event type; Hash status; Timestamp,Audit chain view exists; board adds time-grouped layout and hash badges.
75,doctor-diag,DoctorView · health check diagnostics,Diagnostics,partial,partial-or-route-gap,board-screenshots/75-doctor-view.jpg,,"Run health checks for daemon, hooks, keys, policy, host, and relay with pass/fail badges.",Run all checks.; Open fix instructions.; Re-run individual checks.,All pass; Some fail; Running; Unable to run,Check name; Pass/fail badge; Failure reason; Suggested fix,Doctor view exists; board adds richer per-check detail.
76,ssh-keys-manage,KeysView · SSH key management,Credentials,partial,partial-or-route-gap,board-screenshots/76-keys-view.jpg,,"Manage SSH keys with fingerprints, host associations, and last-used times.",View generated keys.; Add or import a key.; Remove or rotate a key.,No keys; Keys available; Key locked,Key label; Fingerprint; Host usage; Last used time,SSH key management exists; board adds host usage and last-used columns.
77,agents-list,AgentsView · cloud-hosted agent list,Fleet and providers,partial,partial-or-route-gap,board-screenshots/77-agents-view.jpg,,"List cloud-hosted agents with status, model, and spend per agent.",Open an agent detail.; Create a new agent.; Pause or resume an agent.,Populated list; Empty list; Loading; Offline agents,Agent name; Status badge; Model/provider; Spend,Agent list exists in fleet tab; board adds dedicated agents root.
78,agent-detail,AgentDetailView · agent detail header,Fleet and providers,partial,partial-or-route-gap,board-screenshots/78-agent-detail-view.jpg,,"Show agent detail header with run history list and controls (Pause/Resume, Schedule, Delete).",View agent info.; Pause or resume the agent.; Open run history.; Delete agent.,Agent active; Agent paused; Agent offline; No run history,Agent name; Model; Status; Spend; Run list,Agent detail exists; board adds run history and schedule controls.
79,agent-run-detail,AgentRunDetailView · agent run with live output,Run control,partial,partial-or-route-gap,board-screenshots/79-agent-run-detail-view.jpg,,"Show run detail with live output stream and controls (Stop, Pause, Budget, Ship, Diff).",Monitor live output.; Stop or pause the run.; Set budget.; Ship or review diff.,Running; Paused; Completed; Failed,Goal; Live output stream; Controls; Budget progress,Run detail view exists; board adds Ship/Diff action buttons.
80,agent-files,AgentFilesView · agent workspace file browser,File review,partial,partial-or-route-gap,board-screenshots/80-agent-files-view.jpg,,Browse agent workspace files with a directory tree.,Navigate directory tree.; Open a file for preview.; Return to run context.,Files available; No files; Loading,Directory tree; File names; File sizes; Permissions,File browsing exists in run context; board adds dedicated files view.
81,agent-workspace,AgentWorkspaceView · repository view,Repository,partial,partial-or-route-gap,board-screenshots/81-agent-workspace-view.jpg,,"Show repository and workspace context with branch, commits, and CI status.",Switch branch.; View commit history.; Inspect CI status.,Repository connected; No repository; CI passing; CI failing,Repository name; Branch; Recent commits; CI status badge,Workspace context exists in loop detail; board adds dedicated workspace view.
82,agent-org,AgentOrgView · org members list,Fleet and providers,partial,partial-or-route-gap,board-screenshots/82-agent-org-view.jpg,,Show organization members list with roles and status.,View member roles.; Invite new members.; Remove a member.,Populated list; Empty list; Loading,Member name; Role; Status,Org features are cloud-only; board previews the member management view.
83,agent-exec,AgentExecView · single execution detail,Run control,partial,partial-or-route-gap,board-screenshots/83-agent-exec-view.jpg,,"Show a single agent execution with command, arguments, environment, and output.",View command and args.; Inspect environment.; Read output.,Completed; Running; Failed,Command; Arguments; Environment variables; Output,Execution detail exists in run history; board isolates it as a standalone view.
84,create-agent,CreateAgentSheet · new hosted agent form,Fleet and providers,partial,partial-or-route-gap,board-screenshots/84-create-agent-sheet.jpg,,"Provide a bottom sheet form for creating a new hosted agent with name, runtime, model, and budget.",Enter agent name.; Select runtime.; Choose model.; Set budget.; Create or cancel.,Empty form; Submitting; Creation failed,Agent name field; Runtime picker; Model picker; Budget input,Agent creation exists; board adds a dedicated sheet form.
85,agent-billing,AgentBillingSheet · prepaid credits,Billing,partial,partial-or-route-gap,board-screenshots/85-agent-billing-sheet.jpg,,"Show prepaid credits, per-agent spend breakdown, and top-up options.",View credit balance.; Top up credits.; View spend breakdown.,Credits available; Credits low; Credits exhausted; Loading,Credit balance; Per-agent spend; Top-up options; Spend history,Billing sheet exists behind cloud agent flows; board adds credit-focused layout.
86,edit-schedule,EditScheduleSheet · schedule editor,Run control,partial,partial-or-route-gap,board-screenshots/86-edit-schedule-sheet.jpg,,"Provide a schedule editor with cron expression, command, and enabled toggle.",Enter or edit cron expression.; Set command.; Toggle schedule on/off.,Valid cron; Invalid cron; Schedule enabled; Schedule disabled,Cron expression; Command; Enabled toggle; Next run preview,Scheduling exists for cloud agents; board adds dedicated editor sheet.
87,loop-detail,LoopDetailView · full agent loop lifecycle,Loop supervision,partial,partial-or-route-gap,board-screenshots/87-loop-detail-view.jpg,,"Show the full agent loop lifecycle: goal through plan, execution, CI, and proof with timeline stages.",Review each loop stage.; Open CI or proof detail.; Stop or redirect the loop.,Planning; Executing; Waiting on CI; Ready for proof; Completed; Failed,Goal; Plan steps; Current stage; CI events; Proof status,Loop detail view exists; board adds timeline stage visualization.
88,run-detail,RunDetailView · streaming output + controls,Run control,partial,partial-or-route-gap,board-screenshots/88-run-detail-view.jpg,,"Provide streaming output view with budget progress and controls (Stop, Pause, Set Budget, Nudge).",Read live output.; Stop or pause run.; Set or change budget.; Send a nudge.,Running; Paused; Completed; Failed,Goal; Output stream; Budget progress; Available controls,Run detail exists; board adds budget progress bar and nudge control.
89,quota-guard,QuotaGuardView · per-provider quota dashboard,Cost control,partial,partial-or-route-gap,board-screenshots/89-quota-guard-view.jpg,,"Show per-provider quota dashboard with spend vs cap, time windows, and alert thresholds.",Review quota by provider.; Adjust alert thresholds.; Open provider detail.,Within quota; Near limit; Limit reached; Provider unavailable,Provider name; Spend; Cap; Time window; Alert threshold,QuotaGuardView exists; board adds time windows and alert threshold controls.
90,worktree-board,"Git, Files & Preview · kanban and ship",Branch supervision,partial,partial-or-route-gap,board-screenshots/90-worktree-board-view.jpg,,"Show 3-column kanban for git worktrees: Active, Stale, Merged.",Move worktree between columns.; Open a worktree detail.; Promote or archive.,Active worktrees; Stale worktrees; No worktrees,Worktree columns; Branch name; Status; Last activity,Worktree board exists; board adds kanban column layout.
91,run-ship,RunShipSheet · ship changes bottom sheet,Branch supervision,partial,partial-or-route-gap,board-screenshots/91-run-ship-sheet.jpg,,"Provide a bottom sheet for shipping changes with files list, commit message, and PR toggle.",Review changed files.; Write commit message.; Toggle PR creation.; Ship or cancel.,Ready to ship; Shipping; Ship failed,Changed files list; Commit message; PR toggle; Ship status,Ship flow exists in loop/run context; board adds dedicated ship sheet.
92,ship-it,ShipItSheet · ship from loop context,Branch supervision,partial,partial-or-route-gap,board-screenshots/92-ship-it-sheet.jpg,,"Ship changes from loop context with goal summary, changed files, and commit preview.",Review goal and changes.; Write or confirm commit message.; Execute ship.,Changes staged; Shipping; Ship failed,Goal summary; Changed files; Commit message; Ship status,Ship sheet exists; board adds goal summary context.
93,sftp-browser,FilesView · SFTP file browser,File review,partial,partial-or-route-gap,board-screenshots/93-files-view.jpg,,"Provide an SFTP file browser with breadcrumb navigation, permissions, sizes, and dates.",Navigate directories.; Open a file.; View file metadata.,Files available; Directory empty; Loading; Connection lost,Breadcrumb trail; File name; Permissions; Size; Modification date,SFTP file browser exists; board adds breadcrumb and detail columns.
94,file-preview,FilePreviewView · monospace file preview,File review,partial,partial-or-route-gap,board-screenshots/94-file-preview-view.jpg,swift-screenshots/gallery-filepreview.jpg,Display a monospace file preview with line numbers and language badge.,Scroll file content.; Copy text.; Return to browser or run context.,File loaded; File unavailable; Unsupported type,File content; Line numbers; Language badge; File path,File preview gallery exists; board adds language badge treatment.
95,diff-side-by-side,DiffView · side-by-side git diff,File change review,matches,current-captured,board-screenshots/95-diff-view.jpg,swift-screenshots/gallery-diff.jpg,Show a side-by-side git diff with green/red highlighting and line numbers.,Review changes.; Approve or deny.; Open file detail.,Diff available; Large diff; Binary file,Added lines; Removed lines; Line numbers; File path,Diff gallery exists; board adds side-by-side layout.
96,preview-surface,PreviewSurface · WKWebView preview,Preview and browsing,partial,partial-or-route-gap,board-screenshots/96-preview-surface.jpg,,Provide a WKWebView preview frame with URL bar for previewing served content.,View rendered content.; Interact with the web view.,Content loaded; Loading; Content failed,URL; Web content,Web preview exists; board refines the toolbar integration.
97,preview-toolbar,PreviewToolbar · URL bar and controls,Preview and browsing,partial,partial-or-route-gap,board-screenshots/97-preview-toolbar.jpg,,"Provide URL bar with refresh, back/forward navigation, and port selector for the preview surface.",Enter or edit URL.; Refresh page.; Navigate back or forward.; Select port.,Page loaded; Loading; Invalid URL,URL text; Refresh button; Back/forward buttons; Port selector,Preview toolbar exists in preview context; board refines port selector.
98,ds-button-gallery,Design System · DSButtonGallery,Design system gallery,partial,partial-or-route-gap,board-screenshots/98-ds-button-gallery.jpg,swift-screenshots/gallery-features.jpg,"Show all button variants: primary, ghost, danger, quiet in normal and disabled states.",Browse variants.; Inspect disabled and pressed states.,All variants visible; None (static reference),Variant labels; Disabled variants,Button gallery exists in the component gallery; board shows all variants in one frame.
99,ds-chip-gallery,Design System · DSChipGallery,Design system gallery,partial,partial-or-route-gap,board-screenshots/99-ds-chip-gallery.jpg,swift-screenshots/gallery-features.jpg,"Show all chip types: file, git, network, credentials, Pro, soon, new.",Browse chip variants.,All variants visible,Chip labels and icons,Chips exist in the component gallery; board catalogues all variants.
100,ds-risk-gallery,Design System · RiskBadgeGallery,Design system gallery,partial,partial-or-route-gap,board-screenshots/100-ds-risk-badge-gallery.jpg,swift-screenshots/gallery-features.jpg,"Show all 4 risk levels: low, medium, high, critical.",Browse risk badges.,All levels visible,Risk level labels; Color coding,Risk badges exist; board catalogues all levels.
101,ds-statusdot-gallery,Design System · StatusDotGallery,Design system gallery,partial,partial-or-route-gap,board-screenshots/101-ds-status-dot-gallery.jpg,swift-screenshots/gallery-features.jpg,"Show all status dot variants: working, waiting, idle, error, offline, done.",Browse status dots.,All variants visible,Status labels; Dot colors,Status dots exist; board catalogues all states.
102,ds-blockcard-gallery,Design System · DSBlockCardGallery,Design system gallery,partial,partial-or-route-gap,board-screenshots/102-ds-block-card-gallery.jpg,swift-screenshots/gallery-features.jpg,"Show block cards in running, completed, and failed states.",Browse block card states.,Running; Completed; Failed,Block card variants; State indicators,Block cards exist; board catalogues all states.
103,ds-bubble-gallery,Design System · DSMessageBubbleGallery,Design system gallery,partial,partial-or-route-gap,board-screenshots/103-ds-message-bubble-gallery.jpg,swift-screenshots/gallery-features.jpg,"Show chat bubble variants: user, assistant, system.",Browse bubble variants.,All variants visible,Bubble styles,Message bubbles exist; board catalogues all types.
104,ds-approval-gallery,Design System · DSApprovalCardGallery,Design system gallery,partial,partial-or-route-gap,board-screenshots/104-ds-approval-card-gallery.jpg,swift-screenshots/gallery-features.jpg,"Show approval cards with approve, deny, edit, and allow-always actions.",Browse approval card variants.,All action variants visible,Action buttons; Card layout,Approval cards exist; board catalogues all action variants.
105,ds-decision-gallery,Design System · DSDecisionSheetGallery,Design system gallery,partial,partial-or-route-gap,board-screenshots/105-ds-decision-sheet-gallery.jpg,,Show the 4-action decision sheet with all action buttons.,Browse decision sheet layout.,All 4 actions visible,Action list,Decision sheet exists; board catalogues the 4-action layout.
106,ds-blast-gallery,Design System · DSBlastRadiusGallery,Design system gallery,partial,partial-or-route-gap,board-screenshots/106-ds-blast-radius-gallery.jpg,swift-screenshots/gallery-features.jpg,Show blast radius inline chips and full-width banner variants.,Browse blast radius variants.,Inline chips visible; Banner variants visible,Chip labels; Banner layouts,Blast radius components exist; board catalogues all display modes.
107,ds-spend-gallery,Design System · DSSpendHeroGallery,Design system gallery,partial,partial-or-route-gap,board-screenshots/107-ds-spend-hero-gallery.jpg,swift-screenshots/gallery-billing.jpg,Show the spend hero card with provider breakdown.,Browse spend hero layout.,Single provider; Multiple providers; No spend data,Spend amount; Provider breakdown,Spend hero exists in billing gallery; board catalogues it as a component.
108,ds-proof-gallery,Design System · ProofCardViewGallery,Design system gallery,matches,current-captured,board-screenshots/108-ds-proof-card-gallery.jpg,swift-screenshots/gallery-proof.jpg,Show the completion proof card with CI status.,Browse proof card layout.,Proof complete; Proof pending; Proof failed,Goal summary; CI status; Changed files,Proof card gallery exists; board catalogues it as a design system component.
109,ds-header-gallery,Design System · DSScreenHeaderGallery,Design system gallery,partial,partial-or-route-gap,board-screenshots/109-ds-screen-header-gallery.jpg,,Show screen header with title cursor and breadcrumb.,Browse header variants.,With breadcrumb; Without breadcrumb,Title; Breadcrumb trail; Cursor indicator,Screen headers exist; board catalogues cursor and breadcrumb treatments.
110,ds-statusheader-gallery,Design System · DSStatusHeaderGallery,Design system gallery,partial,partial-or-route-gap,board-screenshots/110-ds-status-header-gallery.jpg,,Show bridge status header variants.,Browse status header variants.,Connected; Disconnected; Pairing,Status label; Connection indicator,Status headers exist; board catalogues all connection states.
111,ds-island-gallery,Design System · AgentIslandGallery,Design system gallery,partial,partial-or-route-gap,board-screenshots/111-ds-agent-island-gallery.jpg,,"Show compact agent card with avatar, status, and inline approval.",Browse island variants.,Idle; Working; Waiting for approval,Agent avatar; Status; Approval controls,Agent island component exists; board catalogues interactive states.
112,ds-hostrow-gallery,Design System · DSHostRowGallery,Design system gallery,partial,partial-or-route-gap,board-screenshots/112-ds-host-row-gallery.jpg,,Show host list row variants.,Browse row variants.,Online; Offline; Degraded,Host name; Status dot; Avatar; Address,Host rows exist in fleet; board catalogues all row variants.
113,ds-sessionrow-gallery,Design System · DSSessionRowGallery,Design system gallery,partial,partial-or-route-gap,board-screenshots/113-ds-session-row-gallery.jpg,,Show session row with unread badges.,Browse session row variants.,Unread; Read; Active,Session name; Unread badge; Timestamp,Session rows exist; board catalogues badge and state variants.
114,ds-state-gallery,Design System · DSStateGallery,Design system gallery,partial,partial-or-route-gap,board-screenshots/114-ds-state-gallery.jpg,swift-screenshots/gallery-states.jpg,"Show empty, loading, error, and offline state components.",Browse state variants.,Empty; Loading; Error; Offline,Illustration; Title; Description; Action button,State gallery exists; board catalogues all state components.
115,ds-tabbar-gallery,Design System · DSTabBarGallery,Design system gallery,matches,current-captured,board-screenshots/115-ds-tab-bar-gallery.jpg,,Show the 4-tab bar with inbox badge.,Browse tab bar layout.,Badge visible; Badge hidden,Tab icons; Tab labels; Badge count,Tab bar exists as the app root; board catalogues badge state.
116,ds-segment-gallery,Design System · DSSegmentedControlGallery,Design system gallery,partial,partial-or-route-gap,board-screenshots/116-ds-segmented-control-gallery.jpg,,"Show segmented controls with 2, 3, and 4 segments.",Browse segment variants.,2 segments; 3 segments; 4 segments,Segment labels; Selected state,Segmented controls exist; board catalogues all width variants.
117,ds-toast-gallery,Design System · DSToastGallery,Design system gallery,partial,partial-or-route-gap,board-screenshots/117-ds-toast-gallery.jpg,,Show toast notification variants.,Browse toast variants.,Success; Error; Warning; Info,Toast message; Icon; Dismiss action,Toasts exist; board catalogues all severity variants.
118,ds-sheet-gallery,Design System · DSSheetGallery,Design system gallery,partial,partial-or-route-gap,board-screenshots/118-ds-sheet-gallery.jpg,,Show the bottom sheet pattern.,Browse sheet layout.,Default height; Expanded height; With drag indicator,Sheet content; Drag handle,Sheets are used throughout the app; board catalogues the pattern.
119,ds-divider-gallery,Design System · DSDividerGallery,Design system gallery,partial,partial-or-route-gap,board-screenshots/119-ds-divider-gallery.jpg,,"Show dividers, spectrum bar, and dot matrix variants.",Browse divider variants.,All variants visible,Divider styles; Spectrum bar; Dot matrix,Dividers exist; board catalogues all decorative variants.
120,ds-avatar-gallery,Design System · PixelAvatarGallery,Design system gallery,partial,partial-or-route-gap,board-screenshots/120-ds-pixel-avatar-gallery.jpg,swift-screenshots/gallery-features.jpg,Show all 8 palette variants in 4 sizes.,Browse avatar variants.,All sizes and palettes visible,Size variants; Palette variants,PixelAvatar exists in gallery; board catalogues all palette and size combinations.
121,ds-relay-badge-gallery,Design System · E2ERelayStatusBadge,Design system gallery,partial,partial-or-route-gap,board-screenshots/121-ds-e2e-relay-badge-gallery.jpg,,"Show the relay badge with paired, pairing, and disconnected states.",Browse relay badge states.,Paired; Pairing; Disconnected,Status label; Icon indicator,Relay badge exists; board catalogues all states.
122,ds-health-gallery,Design System · HostHealthBadgeGallery,Design system gallery,partial,partial-or-route-gap,board-screenshots/122-ds-host-health-badge-gallery.jpg,,"Show health badges with CPU, memory, and disk metrics.",Browse health badge variants.,Healthy; Degraded; Critical,CPU metric; Memory metric; Disk metric; Status color,Health badges exist in fleet; board catalogues all metric states.
